programa,n,hilos,rep,tiempo,checksum
secuencial,500,1,1,0.019000,2525901808
paralelo,500,1,1,0.062000,2525901808
paralelo,500,2,1,0.031000,2525901808
paralelo,500,4,1,0.018000,2525901808
paralelo,500,8,1,0.010000,2525901808
paralelo,500,16,1,0.010000,2525901808
secuencial,1000,1,1,0.236000,20224956681
paralelo,1000,1,1,0.657000,20224956681
paralelo,1000,2,1,0.316000,20224956681
paralelo,1000,4,1,0.154000,20224956681
paralelo,1000,8,1,0.090000,20224956681
paralelo,1000,16,1,0.075000,20224956681
secuencial,1500,1,1,0.788000,68340862841
paralelo,1500,1,1,2.211000,68340862841
paralelo,1500,2,1,1.051000,68340862841
paralelo,1500,4,1,0.558000,68340862841
paralelo,1500,8,1,0.319000,68340862841
paralelo,1500,16,1,0.236000,68340862841
secuencial,2000,1,1,3.141000,162018129222
paralelo,2000,1,1,9.800000,162018129222
paralelo,2000,2,1,4.918000,162018129222
paralelo,2000,4,1,2.454000,162018129222
paralelo,2000,8,1,1.288000,162018129222
paralelo,2000,16,1,0.722000,162018129222
secuencial,500,1,2,0.018000,2525901808
paralelo,500,1,2,0.054000,2525901808
paralelo,500,2,2,0.028000,2525901808
paralelo,500,4,2,0.016000,2525901808
paralelo,500,8,2,0.011000,2525901808
paralelo,500,16,2,0.010000,2525901808
secuencial,1000,1,2,0.208000,20224956681
paralelo,1000,1,2,0.619000,20224956681
paralelo,1000,2,2,0.312000,20224956681
paralelo,1000,4,2,0.188000,20224956681
paralelo,1000,8,2,0.096000,20224956681
paralelo,1000,16,2,0.085000,20224956681
secuencial,1500,1,2,0.816000,68340862841
paralelo,1500,1,2,2.389000,68340862841
paralelo,1500,2,2,1.201000,68340862841
paralelo,1500,4,2,0.649000,68340862841
paralelo,1500,8,2,0.342000,68340862841
paralelo,1500,16,2,0.240000,68340862841
secuencial,2000,1,2,3.470000,162018129222
paralelo,2000,1,2,10.702000,162018129222
paralelo,2000,2,2,5.542000,162018129222
paralelo,2000,4,2,2.571000,162018129222
paralelo,2000,8,2,1.396000,162018129222
paralelo,2000,16,2,0.763000,162018129222
secuencial,500,1,3,0.019000,2525901808
paralelo,500,1,3,0.057000,2525901808
paralelo,500,2,3,0.031000,2525901808
paralelo,500,4,3,0.014000,2525901808
paralelo,500,8,3,0.011000,2525901808
paralelo,500,16,3,0.010000,2525901808
secuencial,1000,1,3,0.222000,20224956681
paralelo,1000,1,3,0.669000,20224956681
paralelo,1000,2,3,0.338000,20224956681
paralelo,1000,4,3,0.174000,20224956681
paralelo,1000,8,3,0.112000,20224956681
paralelo,1000,16,3,0.085000,20224956681
secuencial,1500,1,3,0.887000,68340862841
paralelo,1500,1,3,2.557000,68340862841
paralelo,1500,2,3,1.405000,68340862841
paralelo,1500,4,3,0.585000,68340862841
paralelo,1500,8,3,0.351000,68340862841
paralelo,1500,16,3,0.230000,68340862841
secuencial,2000,1,3,3.474000,162018129222
paralelo,2000,1,3,10.581000,162018129222
paralelo,2000,2,3,5.022000,162018129222
paralelo,2000,4,3,2.489000,162018129222
paralelo,2000,8,3,1.376000,162018129222
paralelo,2000,16,3,0.750000,162018129222
secuencial,500,1,4,0.018000,2525901808
paralelo,500,1,4,0.058000,2525901808
paralelo,500,2,4,0.030000,2525901808
paralelo,500,4,4,0.016000,2525901808
paralelo,500,8,4,0.011000,2525901808
paralelo,500,16,4,0.010000,2525901808
secuencial,1000,1,4,0.221000,20224956681
paralelo,1000,1,4,0.621000,20224956681
paralelo,1000,2,4,0.333000,20224956681
paralelo,1000,4,4,0.166000,20224956681
paralelo,1000,8,4,0.092000,20224956681
paralelo,1000,16,4,0.085000,20224956681
secuencial,1500,1,4,0.946000,68340862841
paralelo,1500,1,4,2.257000,68340862841
paralelo,1500,2,4,1.207000,68340862841
paralelo,1500,4,4,0.592000,68340862841
paralelo,1500,8,4,0.334000,68340862841
paralelo,1500,16,4,0.242000,68340862841
secuencial,2000,1,4,3.297000,162018129222
paralelo,2000,1,4,10.752000,162018129222
paralelo,2000,2,4,5.178000,162018129222
paralelo,2000,4,4,2.645000,162018129222
paralelo,2000,8,4,1.225000,162018129222
paralelo,2000,16,4,0.811000,162018129222
secuencial,500,1,5,0.021000,2525901808
paralelo,500,1,5,0.059000,2525901808
paralelo,500,2,5,0.031000,2525901808
paralelo,500,4,5,0.020000,2525901808
paralelo,500,8,5,0.012000,2525901808
paralelo,500,16,5,0.008000,2525901808
secuencial,1000,1,5,0.219000,20224956681
paralelo,1000,1,5,0.673000,20224956681
paralelo,1000,2,5,0.349000,20224956681
paralelo,1000,4,5,0.172000,20224956681
paralelo,1000,8,5,0.098000,20224956681
paralelo,1000,16,5,0.069000,20224956681
secuencial,1500,1,5,0.795000,68340862841
paralelo,1500,1,5,2.814000,68340862841
paralelo,1500,2,5,1.305000,68340862841
paralelo,1500,4,5,0.601000,68340862841
paralelo,1500,8,5,0.353000,68340862841
paralelo,1500,16,5,0.226000,68340862841
secuencial,2000,1,5,3.401000,162018129222
paralelo,2000,1,5,10.390000,162018129222
paralelo,2000,2,5,5.135000,162018129222
paralelo,2000,4,5,2.575000,162018129222
paralelo,2000,8,5,1.368000,162018129222
paralelo,2000,16,5,0.742000,162018129222
