n,hilos,t_sec,t_par,speedup_real,speedup_omp,eficiencia_real,eficiencia_omp
500,1,0.018,0.054,0.3333,1.0,0.3333,1.0
500,2,0.018,0.028,0.6429,1.9286,0.3214,0.9643
500,4,0.018,0.014,1.2857,3.8571,0.3214,0.9643
500,8,0.018,0.01,1.8,5.4,0.225,0.675
500,16,0.018,0.008,2.25,6.75,0.1406,0.4219
1000,1,0.208,0.619,0.336,1.0,0.336,1.0
1000,2,0.208,0.312,0.6667,1.984,0.3333,0.992
1000,4,0.208,0.154,1.3506,4.0195,0.3377,1.0049
1000,8,0.208,0.09,2.3111,6.8778,0.2889,0.8597
1000,16,0.208,0.069,3.0145,8.971,0.1884,0.5607
1500,1,0.788,2.211,0.3564,1.0,0.3564,1.0
1500,2,0.788,1.051,0.7498,2.1037,0.3749,1.0519
1500,4,0.788,0.558,1.4122,3.9624,0.353,0.9906
1500,8,0.788,0.319,2.4702,6.931,0.3088,0.8664
1500,16,0.788,0.226,3.4867,9.7832,0.2179,0.6114
2000,1,3.141,9.8,0.3205,1.0,0.3205,1.0
2000,2,3.141,4.918,0.6387,1.9927,0.3193,0.9963
2000,4,3.141,2.454,1.28,3.9935,0.32,0.9984
2000,8,3.141,1.225,2.5641,8.0,0.3205,1.0
2000,16,3.141,0.722,4.3504,13.5734,0.2719,0.8483
