funcion,n,hilos,t_sec,t_par,speedup_real,speedup_omp,eficiencia_real,eficiencia_omp
1,100000000,1,0.049,0.05,0.98,1.0,0.98,1.0
1,100000000,2,0.049,0.026,1.8846,1.9231,0.9423,0.9615
1,100000000,4,0.049,0.012,4.0833,4.1667,1.0208,1.0417
1,100000000,8,0.049,0.009,5.4444,5.5556,0.6806,0.6944
1,100000000,16,0.049,0.008,6.125,6.25,0.3828,0.3906
1,500000000,1,0.253,0.247,1.0243,1.0,1.0243,1.0
1,500000000,2,0.253,0.129,1.9612,1.9147,0.9806,0.9574
1,500000000,4,0.253,0.065,3.8923,3.8,0.9731,0.95
1,500000000,8,0.253,0.04,6.325,6.175,0.7906,0.7719
1,500000000,16,0.253,0.032,7.9062,7.7188,0.4941,0.4824
1,1000000000,1,0.509,0.489,1.0409,1.0,1.0409,1.0
1,1000000000,2,0.509,0.254,2.0039,1.9252,1.002,0.9626
1,1000000000,4,0.509,0.129,3.9457,3.7907,0.9864,0.9477
1,1000000000,8,0.509,0.079,6.443,6.1899,0.8054,0.7737
1,1000000000,16,0.509,0.058,8.7759,8.431,0.5485,0.5269
3,100000000,1,0.247,0.189,1.3069,1.0,1.3069,1.0
3,100000000,2,0.247,0.12,2.0583,1.575,1.0292,0.7875
3,100000000,4,0.247,0.086,2.8721,2.1977,0.718,0.5494
3,100000000,8,0.247,0.052,4.75,3.6346,0.5938,0.4543
3,100000000,16,0.247,0.034,7.2647,5.5588,0.454,0.3474
3,500000000,1,1.288,0.955,1.3487,1.0,1.3487,1.0
3,500000000,2,1.288,0.594,2.1684,1.6077,1.0842,0.8039
3,500000000,4,1.288,0.422,3.0521,2.263,0.763,0.5658
3,500000000,8,1.288,0.251,5.1315,3.8048,0.6414,0.4756
3,500000000,16,1.288,0.161,8.0,5.9317,0.5,0.3707
3,1000000000,1,2.478,1.923,1.2886,1.0,1.2886,1.0
3,1000000000,2,2.478,1.19,2.0824,1.616,1.0412,0.808
3,1000000000,4,2.478,0.847,2.9256,2.2704,0.7314,0.5676
3,1000000000,8,2.478,0.501,4.9461,3.8383,0.6183,0.4798
3,1000000000,16,2.478,0.314,7.8917,6.1242,0.4932,0.3828
