programa,n,hilos,rep,tiempo,checksum
secuencial,500,1,1,0.051000,2525901808
paralelo,500,1,1,0.097000,2525901808
paralelo,500,2,1,0.055000,2525901808
paralelo,500,4,1,0.047000,2525901808
paralelo,500,8,1,0.031000,2525901808
paralelo,500,16,1,0.023000,2525901808
secuencial,1000,1,1,0.526000,20224956681
paralelo,1000,1,1,0.947000,20224956681
paralelo,1000,2,1,0.635000,20224956681
paralelo,1000,4,1,0.410000,20224956681
paralelo,1000,8,1,0.272000,20224956681
paralelo,1000,16,1,0.235000,20224956681
secuencial,1500,1,1,3.725000,68340862841
paralelo,1500,1,1,6.257000,68340862841
paralelo,1500,2,1,3.159000,68340862841
paralelo,1500,4,1,1.721000,68340862841
paralelo,1500,8,1,1.207000,68340862841
paralelo,1500,16,1,1.416000,68340862841
secuencial,2000,1,1,10.463000,162018129222
paralelo,2000,1,1,33.925000,162018129222
paralelo,2000,2,1,19.362000,162018129222
paralelo,2000,4,1,10.064000,162018129222
paralelo,2000,8,1,7.130000,162018129222
paralelo,2000,16,1,3.958000,162018129222
secuencial,500,1,2,0.056000,2525901808
paralelo,500,1,2,0.095000,2525901808
paralelo,500,2,2,0.052000,2525901808
paralelo,500,4,2,0.040000,2525901808
paralelo,500,8,2,0.026000,2525901808
paralelo,500,16,2,0.028000,2525901808
secuencial,1000,1,2,0.535000,20224956681
paralelo,1000,1,2,0.963000,20224956681
paralelo,1000,2,2,0.513000,20224956681
paralelo,1000,4,2,0.403000,20224956681
paralelo,1000,8,2,0.228000,20224956681
paralelo,1000,16,2,0.221000,20224956681
secuencial,1500,1,2,3.296000,68340862841
paralelo,1500,1,2,5.727000,68340862841
paralelo,1500,2,2,2.621000,68340862841
paralelo,1500,4,2,1.475000,68340862841
paralelo,1500,8,2,1.408000,68340862841
paralelo,1500,16,2,1.233000,68340862841
secuencial,2000,1,2,10.289000,162018129222
paralelo,2000,1,2,32.641000,162018129222
paralelo,2000,2,2,17.336000,162018129222
paralelo,2000,4,2,10.364000,162018129222
paralelo,2000,8,2,5.363000,162018129222
paralelo,2000,16,2,2.395000,162018129222
secuencial,500,1,3,0.032000,2525901808
paralelo,500,1,3,0.052000,2525901808
paralelo,500,2,3,0.026000,2525901808
paralelo,500,4,3,0.018000,2525901808
paralelo,500,8,3,0.015000,2525901808
paralelo,500,16,3,0.013000,2525901808
secuencial,1000,1,3,0.310000,20224956681
paralelo,1000,1,3,0.514000,20224956681
paralelo,1000,2,3,0.241000,20224956681
paralelo,1000,4,3,0.145000,20224956681
paralelo,1000,8,3,0.095000,20224956681
paralelo,1000,16,3,0.089000,20224956681
secuencial,1500,1,3,2.206000,68340862841
paralelo,1500,1,3,2.364000,68340862841
paralelo,1500,2,3,1.228000,68340862841
paralelo,1500,4,3,0.574000,68340862841
paralelo,1500,8,3,0.565000,68340862841
paralelo,1500,16,3,0.578000,68340862841
secuencial,2000,1,3,5.664000,162018129222
paralelo,2000,1,3,16.464000,162018129222
paralelo,2000,2,3,8.543000,162018129222
paralelo,2000,4,3,4.313000,162018129222
paralelo,2000,8,3,3.081000,162018129222
paralelo,2000,16,3,2.032000,162018129222
secuencial,500,1,4,0.029000,2525901808
paralelo,500,1,4,0.049000,2525901808
paralelo,500,2,4,0.025000,2525901808
paralelo,500,4,4,0.013000,2525901808
paralelo,500,8,4,0.011000,2525901808
paralelo,500,16,4,0.008000,2525901808
secuencial,1000,1,4,0.269000,20224956681
paralelo,1000,1,4,0.482000,20224956681
paralelo,1000,2,4,0.238000,20224956681
paralelo,1000,4,4,0.133000,20224956681
paralelo,1000,8,4,0.134000,20224956681
paralelo,1000,16,4,0.088000,20224956681
secuencial,1500,1,4,1.295000,68340862841
paralelo,1500,1,4,2.881000,68340862841
paralelo,1500,2,4,1.118000,68340862841
paralelo,1500,4,4,0.555000,68340862841
paralelo,1500,8,4,0.489000,68340862841
paralelo,1500,16,4,0.644000,68340862841
secuencial,2000,1,4,5.248000,162018129222
paralelo,2000,1,4,17.399000,162018129222
paralelo,2000,2,4,8.653000,162018129222
paralelo,2000,4,4,4.577000,162018129222
paralelo,2000,8,4,3.021000,162018129222
paralelo,2000,16,4,2.260000,162018129222
secuencial,500,1,5,0.028000,2525901808
paralelo,500,1,5,0.052000,2525901808
paralelo,500,2,5,0.036000,2525901808
paralelo,500,4,5,0.018000,2525901808
paralelo,500,8,5,0.011000,2525901808
paralelo,500,16,5,0.011000,2525901808
secuencial,1000,1,5,0.289000,20224956681
paralelo,1000,1,5,0.539000,20224956681
paralelo,1000,2,5,0.284000,20224956681
paralelo,1000,4,5,0.163000,20224956681
paralelo,1000,8,5,0.119000,20224956681
paralelo,1000,16,5,0.095000,20224956681
secuencial,1500,1,5,4.276000,68340862841
paralelo,1500,1,5,3.503000,68340862841
paralelo,1500,2,5,1.587000,68340862841
paralelo,1500,4,5,0.845000,68340862841
paralelo,1500,8,5,0.725000,68340862841
paralelo,1500,16,5,0.626000,68340862841
secuencial,2000,1,5,6.660000,162018129222
paralelo,2000,1,5,16.840000,162018129222
paralelo,2000,2,5,8.060000,162018129222
paralelo,2000,4,5,4.023000,162018129222
paralelo,2000,8,5,2.882000,162018129222
paralelo,2000,16,5,1.980000,162018129222
