programa,n,hilos,funcion,a,b,rep,tiempo,area,error
secuencial,100000000,1,1,0,1,1,0.068000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,1,0.061000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,1,0.032000,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,1,0.017000,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,1,0.012000,0.333333328333329,5.000004188460139e-09
paralelo,100000000,16,1,0,1,1,0.012000,0.333333328333351,4.999982317066554e-09
secuencial,500000000,1,1,0,1,1,0.335000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,1,0.295000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,1,0.156000,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,1,0.087000,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,1,0.067000,0.333333332333319,1.000014016039330e-09
paralelo,500000000,16,1,0,1,1,0.049000,0.333333332333436,9.998972205771395e-10
secuencial,1000000000,1,1,0,1,1,0.665000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,1,0.609000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,1,0.312000,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,1,0.207000,0.333333332833382,4.999516911574631e-10
paralelo,1000000000,8,1,0,1,1,0.149000,0.333333332833345,4.999881619838220e-10
paralelo,1000000000,16,1,0,1,1,0.095000,0.333333332833357,4.999765046420634e-10
secuencial,100000000,1,3,0,1,1,0.312000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,1,0.287000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,1,0.192000,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,1,0.154000,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,1,0.089000,0.459697689924481,4.207379666887334e-09
paralelo,100000000,16,3,0,1,1,0.062000,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,1,1.494000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,1,1.456000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,1,0.964000,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,1,0.740000,0.459697693290402,8.414584584670592e-10
paralelo,500000000,8,3,0,1,1,0.475000,0.459697693290400,8.414604568685036e-10
paralelo,500000000,16,3,0,1,1,0.307000,0.459697693290394,8.414666741174415e-10
secuencial,1000000000,1,3,0,1,1,2.934000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,1,3,0,1,1,2.868000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,2,3,0,1,1,1.923000,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,1,1.411000,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,1,0.905000,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,1,0.571000,0.459697693711119,4.207417192425567e-10
secuencial,100000000,1,1,0,1,2,0.077000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,2,0.060000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,2,0.033000,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,2,0.019000,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,2,0.014000,0.333333328333329,5.000004243971290e-09
paralelo,100000000,16,1,0,1,2,0.011000,0.333333328333351,4.999982317066554e-09
secuencial,500000000,1,1,0,1,2,0.318000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,2,0.282000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,2,0.149000,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,2,0.088000,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,2,0.062000,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,2,0.043000,0.333333332333436,9.998971650659882e-10
secuencial,1000000000,1,1,0,1,2,0.626000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,2,0.568000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,2,0.304000,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,2,0.161000,0.333333332833382,4.999517466686143e-10
paralelo,1000000000,8,1,0,1,2,0.152000,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,2,0.080000,0.333333332833357,4.999764491309122e-10
secuencial,100000000,1,3,0,1,2,0.293000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,2,0.291000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,2,0.194000,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,2,0.143000,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,2,0.097000,0.459697689924481,4.207379666887334e-09
