n,hilos,t_sec,t_par,speedup_real,speedup_omp,eficiencia_real,eficiencia_omp
500,1,0.028,0.049,0.5714,1.0,0.5714,1.0
500,2,0.028,0.025,1.12,1.96,0.56,0.98
500,4,0.028,0.013,2.1538,3.7692,0.5385,0.9423
500,8,0.028,0.011,2.5455,4.4545,0.3182,0.5568
500,16,0.028,0.008,3.5,6.125,0.2188,0.3828
1000,1,0.269,0.482,0.5581,1.0,0.5581,1.0
1000,2,0.269,0.238,1.1303,2.0252,0.5651,1.0126
1000,4,0.269,0.133,2.0226,3.6241,0.5056,0.906
1000,8,0.269,0.095,2.8316,5.0737,0.3539,0.6342
1000,16,0.269,0.088,3.0568,5.4773,0.1911,0.3423
1500,1,1.295,2.364,0.5478,1.0,0.5478,1.0
1500,2,1.295,1.118,1.1583,2.1145,0.5792,1.0572
1500,4,1.295,0.555,2.3333,4.2595,0.5833,1.0649
1500,8,1.295,0.489,2.6483,4.8344,0.331,0.6043
1500,16,1.295,0.578,2.2405,4.09,0.14,0.2556
2000,1,5.248,16.464,0.3188,1.0,0.3188,1.0
2000,2,5.248,8.06,0.6511,2.0427,0.3256,1.0213
2000,4,5.248,4.023,1.3045,4.0925,0.3261,1.0231
2000,8,5.248,2.882,1.821,5.7127,0.2276,0.7141
2000,16,5.248,1.98,2.6505,8.3152,0.1657,0.5197
