funcion,n,hilos,t_sec,t_par,speedup_real,speedup_omp,eficiencia_real,eficiencia_omp
1,100000000,1,0.067,0.06,1.1167,1.0,1.1167,1.0
1,100000000,2,0.067,0.03,2.2333,2.0,1.1167,1.0
1,100000000,4,0.067,0.017,3.9412,3.5294,0.9853,0.8824
1,100000000,8,0.067,0.012,5.5833,5.0,0.6979,0.625
1,100000000,16,0.067,0.007,9.5714,8.5714,0.5982,0.5357
1,500000000,1,0.316,0.276,1.1449,1.0,1.1449,1.0
1,500000000,2,0.316,0.145,2.1793,1.9034,1.0897,0.9517
1,500000000,4,0.316,0.078,4.0513,3.5385,1.0128,0.8846
1,500000000,8,0.316,0.062,5.0968,4.4516,0.6371,0.5565
1,500000000,16,0.316,0.041,7.7073,6.7317,0.4817,0.4207
1,1000000000,1,0.625,0.56,1.1161,1.0,1.1161,1.0
1,1000000000,2,0.625,0.291,2.1478,1.9244,1.0739,0.9622
1,1000000000,4,0.625,0.161,3.882,3.4783,0.9705,0.8696
1,1000000000,8,0.625,0.117,5.3419,4.7863,0.6677,0.5983
1,1000000000,16,0.625,0.08,7.8125,7.0,0.4883,0.4375
3,100000000,1,0.281,0.27,1.0407,1.0,1.0407,1.0
3,100000000,2,0.281,0.187,1.5027,1.4439,0.7513,0.7219
3,100000000,4,0.281,0.139,2.0216,1.9424,0.5054,0.4856
3,100000000,8,0.281,0.081,3.4691,3.3333,0.4336,0.4167
3,100000000,16,0.281,0.056,5.0179,4.8214,0.3136,0.3013
3,500000000,1,1.395,1.367,1.0205,1.0,1.0205,1.0
3,500000000,2,1.395,0.911,1.5313,1.5005,0.7656,0.7503
3,500000000,4,1.395,0.664,2.1009,2.0587,0.5252,0.5147
3,500000000,8,1.395,0.396,3.5227,3.452,0.4403,0.4315
3,500000000,16,1.395,0.276,5.0543,4.9529,0.3159,0.3096
3,1000000000,1,2.773,2.69,1.0309,1.0,1.0309,1.0
3,1000000000,2,2.773,1.783,1.5552,1.5087,0.7776,0.7543
3,1000000000,4,2.773,1.328,2.0881,2.0256,0.522,0.5064
3,1000000000,8,2.773,0.813,3.4108,3.3087,0.4264,0.4136
3,1000000000,16,2.773,0.548,5.0602,4.9088,0.3163,0.3068
