programa,n,hilos,rep,tiempo,checksum
secuencial,500,1,1,0.052410,2529666551
paralelo,500,1,1,0.121786,2529666551
paralelo,500,2,1,0.056656,2529666551
paralelo,500,4,1,0.030802,2529666551
paralelo,500,8,1,0.033595,2529666551
paralelo,500,16,1,0.033723,2529666551
secuencial,1000,1,1,0.555635,20258134052
paralelo,1000,1,1,1.428797,20258134052
paralelo,1000,2,1,0.764170,20258134052
paralelo,1000,4,1,0.384854,20258134052
paralelo,1000,8,1,0.182424,20258134052
paralelo,1000,16,1,0.152856,20258134052
secuencial,1500,1,1,3.942103,68373628782
paralelo,1500,1,1,6.515553,68373628782
paralelo,1500,2,1,3.346118,68373628782
paralelo,1500,4,1,1.614391,68373628782
paralelo,1500,8,1,0.777324,68373628782
paralelo,1500,16,1,0.557163,68373628782
secuencial,2000,1,1,5.131294,162078008433
paralelo,2000,1,1,9.013208,162078008433
paralelo,2000,2,1,5.484573,162078008433
paralelo,2000,4,1,2.888509,162078008433
paralelo,2000,8,1,1.551290,162078008433
paralelo,2000,16,1,1.277692,162078008433
secuencial,500,1,2,0.053505,2529666551
paralelo,500,1,2,0.120632,2529666551
paralelo,500,2,2,0.060002,2529666551
paralelo,500,4,2,0.031047,2529666551
paralelo,500,8,2,0.015672,2529666551
paralelo,500,16,2,0.019593,2529666551
secuencial,1000,1,2,0.488246,20258134052
paralelo,1000,1,2,1.464588,20258134052
paralelo,1000,2,2,0.759068,20258134052
paralelo,1000,4,2,0.366139,20258134052
paralelo,1000,8,2,0.179863,20258134052
paralelo,1000,16,2,0.153591,20258134052
secuencial,1500,1,2,3.848092,68373628782
paralelo,1500,1,2,6.514888,68373628782
paralelo,1500,2,2,3.293868,68373628782
paralelo,1500,4,2,1.607795,68373628782
paralelo,1500,8,2,0.761533,68373628782
paralelo,1500,16,2,0.610092,68373628782
secuencial,2000,1,2,5.411369,162078008433
paralelo,2000,1,2,8.888461,162078008433
paralelo,2000,2,2,5.747966,162078008433
paralelo,2000,4,2,2.793003,162078008433
paralelo,2000,8,2,1.710748,162078008433
paralelo,2000,16,2,1.595890,162078008433
secuencial,500,1,3,0.059123,2529666551
paralelo,500,1,3,0.119382,2529666551
paralelo,500,2,3,0.057129,2529666551
paralelo,500,4,3,0.029185,2529666551
paralelo,500,8,3,0.032024,2529666551
paralelo,500,16,3,0.018860,2529666551
secuencial,1000,1,3,0.501197,20258134052
paralelo,1000,1,3,1.443076,20258134052
paralelo,1000,2,3,0.768268,20258134052
paralelo,1000,4,3,0.372667,20258134052
paralelo,1000,8,3,0.258842,20258134052
paralelo,1000,16,3,0.164387,20258134052
secuencial,1500,1,3,3.847994,68373628782
paralelo,1500,1,3,6.557735,68373628782
paralelo,1500,2,3,3.294467,68373628782
paralelo,1500,4,3,1.606469,68373628782
paralelo,1500,8,3,0.763295,68373628782
paralelo,1500,16,3,0.623661,68373628782
secuencial,2000,1,3,4.993638,162078008433
paralelo,2000,1,3,8.921702,162078008433
paralelo,2000,2,3,5.573111,162078008433
paralelo,2000,4,3,2.829351,162078008433
paralelo,2000,8,3,1.578907,162078008433
paralelo,2000,16,3,1.358568,162078008433
secuencial,500,1,4,0.057698,2529666551
paralelo,500,1,4,0.117346,2529666551
paralelo,500,2,4,0.060147,2529666551
paralelo,500,4,4,0.032497,2529666551
paralelo,500,8,4,0.015639,2529666551
paralelo,500,16,4,0.022284,2529666551
secuencial,1000,1,4,0.489610,20258134052
paralelo,1000,1,4,1.487570,20258134052
paralelo,1000,2,4,0.764850,20258134052
paralelo,1000,4,4,0.370644,20258134052
paralelo,1000,8,4,0.254421,20258134052
paralelo,1000,16,4,0.150153,20258134052
secuencial,1500,1,4,3.838686,68373628782
paralelo,1500,1,4,6.595651,68373628782
paralelo,1500,2,4,3.284573,68373628782
paralelo,1500,4,4,1.603803,68373628782
paralelo,1500,8,4,0.768018,68373628782
paralelo,1500,16,4,0.622685,68373628782
secuencial,2000,1,4,5.094992,162078008433
paralelo,2000,1,4,9.093496,162078008433
paralelo,2000,2,4,5.567728,162078008433
paralelo,2000,4,4,2.843231,162078008433
paralelo,2000,8,4,1.554310,162078008433
paralelo,2000,16,4,1.321032,162078008433
secuencial,500,1,5,0.061736,2529666551
paralelo,500,1,5,0.111738,2529666551
paralelo,500,2,5,0.060424,2529666551
paralelo,500,4,5,0.031359,2529666551
paralelo,500,8,5,0.016878,2529666551
paralelo,500,16,5,0.018881,2529666551
secuencial,1000,1,5,0.504433,20258134052
paralelo,1000,1,5,1.239332,20258134052
paralelo,1000,2,5,0.724337,20258134052
paralelo,1000,4,5,0.367637,20258134052
paralelo,1000,8,5,0.181653,20258134052
paralelo,1000,16,5,0.156933,20258134052
secuencial,1500,1,5,3.807467,68373628782
paralelo,1500,1,5,6.531639,68373628782
paralelo,1500,2,5,3.283789,68373628782
paralelo,1500,4,5,1.599374,68373628782
paralelo,1500,8,5,0.763192,68373628782
paralelo,1500,16,5,0.583034,68373628782
secuencial,2000,1,5,5.070411,162078008433
paralelo,2000,1,5,9.130739,162078008433
paralelo,2000,2,5,5.529663,162078008433
paralelo,2000,4,5,2.849062,162078008433
paralelo,2000,8,5,1.556996,162078008433
paralelo,2000,16,5,1.458834,162078008433
