programa,n,hilos,funcion,a,b,rep,tiempo,area,error
secuencial,100000000,1,1,0,1,1,0.191757,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,1,0.143412,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,1,0.071900,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,1,0.037327,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,1,0.018967,0.333333328333329,5.000004188460139e-09
paralelo,100000000,16,1,0,1,1,0.016053,0.333333328333351,4.999982261555402e-09
secuencial,500000000,1,1,0,1,1,0.952655,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,1,0.711340,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,1,0.355904,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,1,0.180325,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,1,0.091662,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,1,0.071413,0.333333332333436,9.998972760882907e-10
secuencial,1000000000,1,1,0,1,1,1.900499,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,1,1.424572,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,1,0.713267,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,1,0.357894,0.333333332833382,4.999518021797655e-10
paralelo,1000000000,8,1,0,1,1,0.183354,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,1,0.207389,0.333333332833357,4.999765046420634e-10
secuencial,100000000,1,3,0,1,1,1.518811,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,1,1.498437,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,1,0.755912,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,1,0.380218,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,1,0.275799,0.459697689924481,4.207379666887334e-09
paralelo,100000000,16,3,0,1,1,0.169374,0.459697689924490,4.207370007947020e-09
secuencial,500000000,1,3,0,1,1,7.558114,0.459697693290446,8.414139940349230e-10
