n,hilos,t_sec,t_par,speedup_real,speedup_omp,eficiencia_real,eficiencia_omp
500,1,0.05241,0.111738,0.469,1.0,0.469,1.0
500,2,0.05241,0.056656,0.9251,1.9722,0.4625,0.9861
500,4,0.05241,0.029185,1.7958,3.8286,0.4489,0.9572
500,8,0.05241,0.015639,3.3512,7.1448,0.4189,0.8931
500,16,0.05241,0.01886,2.7789,5.9246,0.1737,0.3703
1000,1,0.488246,1.239332,0.394,1.0,0.394,1.0
1000,2,0.488246,0.724337,0.6741,1.711,0.337,0.8555
1000,4,0.488246,0.366139,1.3335,3.3849,0.3334,0.8462
1000,8,0.488246,0.179863,2.7145,6.8904,0.3393,0.8613
1000,16,0.488246,0.150153,3.2517,8.2538,0.2032,0.5159
1500,1,3.807467,6.514888,0.5844,1.0,0.5844,1.0
1500,2,3.807467,3.283789,1.1595,1.984,0.5797,0.992
1500,4,3.807467,1.599374,2.3806,4.0734,0.5951,1.0183
1500,8,3.807467,0.761533,4.9997,8.555,0.625,1.0694
1500,16,3.807467,0.557163,6.8337,11.693,0.4271,0.7308
2000,1,4.993638,8.888461,0.5618,1.0,0.5618,1.0
2000,2,4.993638,5.484573,0.9105,1.6206,0.4552,0.8103
2000,4,4.993638,2.793003,1.7879,3.1824,0.447,0.7956
2000,8,4.993638,1.55129,3.219,5.7297,0.4024,0.7162
2000,16,4.993638,1.277692,3.9083,6.9567,0.2443,0.4348
