funcion,n,hilos,t_sec,t_par,speedup_real,speedup_omp,eficiencia_real,eficiencia_omp
1,100000000,1,0.109827,0.080979,1.3562,1.0,1.3562,1.0
1,100000000,2,0.109827,0.040964,2.6811,1.9768,1.3405,0.9884
1,100000000,4,0.109827,0.022544,4.8717,3.592,1.2179,0.898
1,100000000,8,0.109827,0.017021,6.4524,4.7576,0.8066,0.5947
1,100000000,16,0.109827,0.011099,9.8952,7.2961,0.6185,0.456
1,500000000,1,0.506323,0.397021,1.2753,1.0,1.2753,1.0
1,500000000,2,0.506323,0.205201,2.4674,1.9348,1.2337,0.9674
1,500000000,4,0.506323,0.101558,4.9856,3.9093,1.2464,0.9773
1,500000000,8,0.506323,0.075371,6.7177,5.2676,0.8397,0.6584
1,500000000,16,0.506323,0.044406,11.4021,8.9407,0.7126,0.5588
1,1000000000,1,1.052456,0.769991,1.3668,1.0,1.3668,1.0
1,1000000000,2,1.052456,0.394321,2.669,1.9527,1.3345,0.9764
1,1000000000,4,1.052456,0.20038,5.2523,3.8427,1.3131,0.9607
1,1000000000,8,1.052456,0.111816,9.4124,6.8862,1.1765,0.8608
1,1000000000,16,1.052456,0.08849,11.8935,8.7014,0.7433,0.5438
3,100000000,1,0.799393,0.792111,1.0092,1.0,1.0092,1.0
3,100000000,2,0.799393,0.414061,1.9306,1.913,0.9653,0.9565
3,100000000,4,0.799393,0.208841,3.8278,3.7929,0.9569,0.9482
3,100000000,8,0.799393,0.126957,6.2966,6.2392,0.7871,0.7799
3,100000000,16,0.799393,0.116768,6.846,6.7836,0.4279,0.424
3,500000000,1,3.993332,3.942741,1.0128,1.0,1.0128,1.0
3,500000000,2,3.993332,2.147902,1.8592,1.8356,0.9296,0.9178
3,500000000,4,3.993332,1.109377,3.5996,3.554,0.8999,0.8885
3,500000000,8,3.993332,0.631675,6.3218,6.2417,0.7902,0.7802
3,500000000,16,3.993332,0.5526,7.2264,7.1349,0.4517,0.4459
3,1000000000,1,8.230169,8.066387,1.0203,1.0,1.0203,1.0
3,1000000000,2,8.230169,4.355444,1.8896,1.852,0.9448,0.926
3,1000000000,4,8.230169,2.302946,3.5738,3.5026,0.8934,0.8757
3,1000000000,8,8.230169,1.358281,6.0593,5.9387,0.7574,0.7423
3,1000000000,16,8.230169,1.19353,6.8957,6.7584,0.431,0.4224
